,u,i,ts,label,idx
132,8192,13309,6032.297,0.0,133
133,2635,14530,6115.98,0.0,134
134,1761,13262,6118.04,0.0,135
135,2685,15083,6120.997,0.0,136
136,7111,13519,6276.907,0.0,137
137,7111,14633,6291.2,0.0,138
138,5373,16640,6311.783,0.0,139
139,1088,14226,6452.9,0.0,140
140,1758,11383,6538.73,0.0,141
141,3916,12730,6628.957,0.0,142
142,3732,17785,6797.307,0.0,143
143,8626,11924,6814.217,0.0,144
144,5499,15869,6840.97,0.0,145
145,6663,16275,6868.567,0.0,146
146,5499,14470,6912.797,0.0,147
147,6924,15130,6925.563,0.0,148
148,9220,11565,7055.017,0.0,149
149,8047,12046,7066.96,0.0,150
150,1889,11711,7267.083,0.0,151
151,3916,12043,7274.003,0.0,152
152,3813,13960,7508.06,0.0,153
153,9024,17280,7703.14,0.0,154
154,5565,11894,7718.853,0.0,155
155,1758,11894,7738.47,0.0,156
156,3813,13869,7745.74,0.0,157
157,3727,13309,7833.907,0.0,158
158,3813,11418,7841.293,0.0,159
159,7717,13185,7874.017,0.0,160
160,9220,10887,7934.27,0.0,161
161,3813,11515,7976.917,0.0,162
162,3813,13058,8018.427,0.0,163
163,3916,14759,8077.23,0.0,164
164,2899,11587,8147.45,0.0,165
165,2838,11894,8162.683,0.0,166
166,8637,17705,8366.303,0.0,167
167,7209,15815,8631.83,0.0,168
168,5373,14751,8676.567,0.0,169
169,7313,15674,8728.3,0.0,170
170,1889,16721,8955.27,0.0,171
171,1280,16289,9039.523,0.0,172
172,1755,15574,9097.983,0.0,173
173,7717,14195,9118.673,0.0,174
174,7717,12392,9214.293,0.0,175
175,5280,16858,9242.097,0.0,176
176,7717,11535,9261.95,0.0,177
177,1755,16545,9284.267,0.0,178
178,5280,17159,9331.0,0.0,179
179,7231,15673,9331.927,0.0,180
180,7717,16154,9368.04,0.0,181
181,8476,12666,9523.84,0.0,182
182,5343,15274,9645.103,0.0,183
183,2838,16816,9750.347,0.0,184
184,6013,15740,10055.69,0.0,185
185,6013,15740,10154.22,0.0,186
186,8830,15815,10170.02,0.0,187
187,6445,15674,10242.84,0.0,188
188,4483,13622,10267.967,0.0,189
189,7476,10559,10323.987,0.0,190
190,2439,14331,10370.967,0.0,191
191,4474,12818,10419.403,0.0,192
192,1994,15673,10636.577,0.0,193
193,7231,15673,10659.047,0.0,194
194,3946,14851,10660.743,0.0,195
195,7209,11245,10834.547,0.0,196
196,8012,17091,10923.61,0.0,197
197,7717,17691,10952.483,0.0,198
198,2447,10577,10988.477,0.0,199
199,7717,11801,11058.34,0.0,200
200,628,11314,11091.89,0.0,201
201,6570,16609,11344.32,0.0,202
202,9276,10095,11375.073,0.0,203
203,4482,15672,11560.33,0.0,204
204,628,16293,11583.993,0.0,205
205,7209,15816,11765.853,0.0,206
206,8503,10577,11788.237,0.0,207
207,7589,13005,11845.5,0.0,208
208,3060,14835,11921.84,0.0,209
209,3773,17159,11957.017,0.0,210
210,7589,12351,11957.383,0.0,211
211,3060,11750,11986.27,0.0,212
212,1178,12577,12065.553,0.0,213
213,3727,13309,12221.037,0.0,214
214,1178,12289,12230.71,0.0,215
215,1178,15373,12238.977,0.0,216
216,8668,10443,12308.013,0.0,217
217,5906,12027,12330.07,0.0,218
218,1178,13088,12351.223,0.0,219
219,6445,17783,12354.563,0.0,220
220,1178,10536,12428.903,0.0,221
221,9370,17672,12466.563,0.0,222
222,1178,12690,12586.357,0.0,223
223,1178,13261,12716.31,0.0,224
224,6445,14415,12742.257,0.0,225
225,1178,12978,12818.133,0.0,226
226,5470,15120,12825.603,0.0,227
227,7266,15461,12851.753,0.0,228
228,7231,16426,12854.043,0.0,229
229,4754,12350,12868.463,0.0,230
230,1178,10499,12887.123,0.0,231
231,1178,11359,12951.307,0.0,232
232,1178,13320,12955.477,0.0,233
233,1178,10746,12983.167,0.0,234
234,1178,10719,13039.313,0.0,235
235,8503,13309,13089.56,0.0,236
236,8470,13309,13368.027,0.0,237
237,2213,17083,13481.613,0.0,238
238,2213,13088,13517.117,0.0,239
239,6013,15740,13583.99,0.0,240
240,5012,11998,13779.077,0.0,241
241,5012,10560,13780.027,0.0,242
242,8470,13309,13792.187,0.0,243
243,5012,13577,13856.497,0.0,244
244,5012,13906,13864.63,0.0,245
245,5012,15815,13906.337,0.0,246
246,5012,14833,13919.463,0.0,247
247,8470,11933,13955.183,0.0,248
248,8470,12678,13969.533,0.0,249
249,7266,15470,14117.387,0.0,250
250,8470,12281,14259.76,0.0,251
251,1178,13869,14262.53,0.0,252
252,1178,14505,14281.783,0.0,253
253,8470,10454,14293.147,0.0,254
254,8470,13745,14334.237,0.0,255
255,8470,15083,14385.063,0.0,256
256,8470,17506,14390.087,0.0,257
257,7266,11052,14440.777,0.0,258
258,2810,13277,14500.647,0.0,259
259,660,10156,14560.03,0.0,260
260,8470,14609,14654.33,0.0,261
261,660,10366,14658.323,0.0,262
262,804,14331,14702.357,0.0,263
263,4100,13158,14731.077,0.0,264
264,2810,16428,14804.167,0.0,265
265,660,15439,14907.237,0.0,266
266,9029,13309,14911.913,0.0,267
267,3907,16296,14996.767,0.0,268
268,6013,15740,15223.413,0.0,269
269,8021,17346,15396.62,0.0,270
270,2126,16368,15408.84,0.0,271
271,8410,17356,15519.387,0.0,272
272,8470,10609,15535.357,0.0,273
273,8410,13112,15617.37,0.0,274
274,8410,13114,15640.763,0.0,275
275,5486,14483,15760.097,0.0,276
276,8470,12048,16005.13,0.0,277
277,1483,14554,16126.747,0.0,278
278,8470,16856,16236.953,0.0,279
279,8470,13046,16264.057,0.0,280
280,9098,16368,16576.697,0.0,281
281,9098,15664,16615.42,0.0,282
282,9098,13534,16696.877,0.0,283
283,5486,17346,16745.013,0.0,284
284,3754,13869,16821.403,0.0,285
285,5549,10560,16829.45,0.0,286
286,8470,15922,16935.293,0.0,287
287,8470,14281,16972.863,0.0,288
288,8470,14793,16996.163,0.0,289
289,5549,12996,17117.393,0.0,290
290,5549,12038,17130.127,0.0,291
291,5549,16182,17155.037,0.0,292
292,8470,16182,17155.84,0.0,293
293,2302,15120,17192.16,0.0,294
294,2810,12996,17197.25,0.0,295
295,60,11052,17209.66,0.0,296
296,8470,15564,17405.51,0.0,297
297,8470,16404,17433.863,0.0,298
298,3727,13309,17574.363,0.0,299
299,2810,16146,17710.007,0.0,300
300,8021,12014,17896.463,0.0,301
301,8021,14539,18042.073,0.0,302
302,2063,17159,19038.893,0.0,303
303,2810,12553,19121.5,0.0,304
304,1178,12607,19167.263,0.0,305
305,6364,14215,19203.427,0.0,306
306,6551,11321,19222.653,0.0,307
307,2341,12577,19595.987,0.0,308
308,8470,11515,19715.39,0.0,309
309,1256,16301,19989.553,0.0,310
310,9541,17083,21035.103,0.0,311
311,1256,13711,21237.493,0.0,312
312,1256,13729,21441.643,0.0,313
313,1256,10176,21493.433,0.0,314
314,8410,11622,22613.077,0.0,315
315,8410,14833,22645.513,0.0,316
316,395,13912,22726.853,0.0,317
317,8187,13908,22955.17,0.0,318
318,2810,15358,23253.117,0.0,319
319,395,11175,23291.33,0.0,320
320,2341,13277,23376.153,0.0,321
321,2341,13309,23382.073,0.0,322
322,395,16941,23408.517,0.0,323
323,6955,15815,23496.72,0.0,324
324,8410,14030,23795.153,0.0,325
325,9113,10435,23979.45,0.0,326
326,5559,11418,24050.663,0.0,327
327,2126,12014,24163.073,0.0,328
328,2126,16368,24180.42,0.0,329
329,2126,16892,24402.777,0.0,330
330,2126,11362,24548.033,0.0,331
331,2126,10536,24580.017,0.0,332
332,2126,12613,24654.45,0.0,333
333,2126,12608,24661.293,0.0,334
334,2126,10796,24749.457,0.0,335
335,831,14077,24910.48,0.0,336
336,3951,17788,24941.36,0.0,337
337,4193,17723,26217.553,0.0,338
338,8410,14825,26518.123,0.0,339
339,3364,11576,26550.193,0.0,340
340,4193,12061,26600.053,0.0,341
341,2064,12607,26718.723,0.0,342
342,2064,14943,26789.687,0.0,343
343,4193,12312,26851.673,0.0,344
344,3364,12608,27744.267,0.0,345
345,7990,14493,27945.763,0.0,346
346,8100,12046,28475.393,0.0,347
347,541,15009,28478.483,0.0,348
348,8410,15836,28567.837,0.0,349
349,415,11925,28853.647,0.0,350
350,541,12612,28944.823,0.0,351
351,8532,17159,29324.02,0.0,352
352,1416,11418,29640.907,0.0,353
353,1416,12405,29767.607,0.0,354
354,1416,15010,29943.133,0.0,355
355,5042,16638,29969.7,0.0,356
356,9829,12761,30118.34,0.0,357
357,6225,15673,30334.2,0.0,358
358,2635,11362,30986.383,0.0,359
359,9070,11515,30999.857,0.0,360
360,152,14163,31061.957,0.0,361
361,1665,16031,31203.92,0.0,362
362,6225,14161,31469.34,0.0,363
363,1416,12488,31469.693,0.0,364
364,1416,14769,31746.677,0.0,365
365,9026,11442,31827.477,0.0,366
366,1416,13752,31860.63,0.0,367
367,9026,15836,31919.72,0.0,368
368,9044,10661,32034.283,0.0,369
369,8948,16243,32038.167,0.0,370
370,9026,15114,32152.32,0.0,371
371,5425,16744,32307.423,0.0,372
372,3450,14942,32307.79,0.0,373
373,7984,10505,32386.39,0.0,374
374,5425,12789,32408.843,0.0,375
375,1358,11094,32440.857,0.0,376
376,9026,14247,32469.957,0.0,377
377,3874,17630,32479.597,0.0,378
378,5827,12319,32611.877,0.0,379
379,9070,13157,32653.003,0.0,380
380,5425,16807,32706.03,0.0,381
381,8723,11565,32752.573,0.0,382
382,3916,10577,32828.043,0.0,383
383,9005,11081,32887.133,0.0,384
384,9966,14539,32896.897,0.0,385
385,3916,13112,32900.61,0.0,386
386,5545,12316,33002.627,0.0,387
387,7845,14537,33002.977,0.0,388
388,8723,14867,33088.457,0.0,389
389,5425,12999,33178.247,0.0,390
390,5827,11767,33190.377,0.0,391
391,5425,10741,33209.17,0.0,392
392,3320,10833,33219.273,0.0,393
393,3819,14332,33234.153,0.0,394
394,963,15673,33259.467,0.0,395
395,5915,14927,33287.02,0.0,396
396,963,15642,33455.33,0.0,397
397,9005,13163,33561.223,0.0,398
398,963,14936,33645.103,0.0,399
399,2047,10597,33686.0,0.0,400
400,1665,16027,33747.52,0.0,401
401,429,15694,33874.31,0.0,402
402,5827,11779,33875.92,0.0,403
403,1665,16030,33915.487,0.0,404
404,6174,10750,33992.77,0.0,405
405,2317,10443,34138.63,0.0,406
406,8532,16925,34287.9,0.0,407
407,8523,15469,34292.783,0.0,408
408,1369,13265,34310.247,0.0,409
409,1983,11236,34488.043,0.0,410
410,6651,16743,34613.73,0.0,411
411,235,12647,34735.807,0.0,412
412,9801,13147,34905.017,0.0,413
413,533,11418,34956.043,0.0,414
414,489,17159,35556.053,0.0,415
415,1665,10548,35606.907,0.0,416
416,492,10923,35674.473,0.0,417
417,6179,13610,35687.433,0.0,418
418,1416,12674,35889.787,0.0,419
419,2365,10505,35976.08,0.0,420
420,1416,13726,36021.743,0.0,421
421,2739,12006,36198.187,0.0,422
422,1041,13484,36279.26,0.0,423
423,8061,16292,36358.483,0.0,424
424,1880,11760,36404.797,0.0,425
425,8996,12014,36523.517,0.0,426
426,3037,15557,36535.487,0.0,427
427,1880,11313,36546.74,0.0,428
428,6623,12526,36567.27,0.0,429
429,1416,14869,36586.567,0.0,430
430,4181,11186,36608.933,0.0,431
431,1880,14520,36622.45,0.0,432
432,1416,14219,36656.677,0.0,433
433,1880,12674,36701.803,0.0,434
434,4927,11323,36708.903,0.0,435
435,1323,12815,36727.983,0.0,436
436,1880,13699,36730.09,0.0,437
437,1880,10366,36776.047,0.0,438
438,6763,10952,36871.057,0.0,439
439,1880,10130,36871.227,0.0,440
440,8293,14633,36940.663,0.0,441
441,1880,13050,36943.383,0.0,442
442,254,12488,36956.403,0.0,443
443,1880,12437,37032.003,0.0,444
444,1416,11670,37125.707,0.0,445
445,113,13587,37131.41,0.0,446
446,6649,15815,37137.187,0.0,447
447,79,15058,37138.843,0.0,448
448,5373,14769,37154.177,0.0,449
449,79,11402,37206.93,0.0,450
450,1416,11664,37210.153,0.0,451
451,6639,11438,37273.14,0.0,452
452,6089,10516,37288.2,0.0,453
453,1880,15557,37306.85,0.0,454
454,1416,11397,37322.06,0.0,455
455,1416,17716,37384.037,0.0,456
456,276,17827,37409.293,0.0,457
457,6458,13941,37416.987,0.0,458
458,6219,12003,37439.897,0.0,459
459,1416,12411,37476.327,0.0,460
460,4181,11186,37499.473,0.0,461
461,1880,14022,37515.913,0.0,462
462,1880,10651,37579.94,0.0,463
463,1416,10496,37588.127,0.0,464
464,2543,17072,37614.267,0.0,465
465,1416,15343,37691.487,0.0,466
466,1880,11902,37694.55,0.0,467
467,1880,11482,37793.36,0.0,468
468,1880,10496,37901.527,0.0,469
469,6141,11418,37955.473,0.0,470
470,5826,14307,37976.13,0.0,471
471,6141,17226,37993.477,0.0,472
472,4652,12882,38046.103,0.0,473
473,1880,11264,38064.65,0.0,474
474,4266,12014,38071.103,0.0,475
475,1723,16048,38091.483,0.0,476
476,1880,14840,38103.323,0.0,477
477,5041,10496,38134.083,0.0,478
478,4652,12864,38223.023,0.0,479
479,5041,17461,38396.393,0.0,480
480,5041,17461,38412.82,0.0,481
481,3037,17506,38415.153,0.0,482
482,1880,12179,38443.24,0.0,483
483,6089,11729,38599.443,0.0,484
484,7479,13309,38712.907,0.0,485
485,4859,13112,38754.897,0.0,486
486,2602,17615,38849.59,0.0,487
487,5194,16338,38871.32,0.0,488
488,5725,17669,38884.047,0.0,489
489,2719,14307,38970.147,0.0,490
490,5042,17026,38975.507,0.0,491
491,6546,16243,38988.767,0.0,492
492,1807,10560,39005.407,0.0,493
493,1807,11730,39020.203,0.0,494
494,6546,13689,39034.267,0.0,495
495,5194,16337,39065.767,0.0,496
496,5194,16336,39070.82,0.0,497
497,241,15376,39114.607,0.0,498
498,2808,11750,39127.103,0.0,499
499,2043,13309,39141.433,0.0,500
500,6639,14163,39164.84,0.0,501
501,4652,13983,39368.35,0.0,502
502,6089,12753,39421.62,0.0,503
503,1571,14520,39436.06,0.0,504
504,5425,13309,39563.517,0.0,505
505,9822,11362,39590.393,0.0,506
506,2602,17615,39599.797,0.0,507
507,1571,13689,39638.473,0.0,508
508,8795,15120,39666.26,0.0,509
509,9611,14828,39789.943,0.0,510
510,4285,14556,39834.71,0.0,511
511,1571,17739,39892.707,0.0,512
512,1723,13534,39988.91,0.0,513
513,6386,13681,40016.507,0.0,514
514,4,13534,40030.727,0.0,515
515,6089,12447,40044.11,0.0,516
516,4310,17091,40238.117,0.0,517
517,1668,17412,40308.187,0.0,518
518,1723,10590,40324.4,0.0,519
519,8532,17091,40350.997,0.0,520
520,8071,16243,40389.957,0.0,521
521,8637,16588,40397.403,0.0,522
522,5649,16048,40417.35,0.0,523
523,2808,13502,40475.297,0.0,524
524,5649,10350,40507.687,0.0,525
525,8532,17091,40540.49,0.0,526
526,2294,12819,40540.697,0.0,527
527,8442,15740,40570.573,0.0,528
528,8723,16840,40594.397,0.0,529
529,8532,11031,40607.48,0.0,530
530,2028,15740,40616.23,0.0,531
531,1559,16840,40645.723,0.0,532
532,2808,10577,40651.093,0.0,533
533,6758,16275,40696.117,0.0,534
534,1723,14926,40732.68,0.0,535
535,3972,15674,40792.01,0.0,536
536,9804,14475,40810.677,0.0,537
537,3819,15031,40812.563,0.0,538
538,1333,13262,40831.613,0.0,539
539,5574,13292,40843.91,0.0,540
540,2294,15918,40859.767,0.0,541
541,2808,12820,40869.727,0.0,542
542,9612,16011,40898.84,0.0,543
543,2074,14215,40989.417,0.0,544
544,8071,16243,41010.59,0.0,545
545,9804,16655,41035.773,0.0,546
546,9822,14154,41145.47,0.0,547
547,4808,13309,41146.67,0.0,548
548,1889,16712,41166.757,0.0,549
549,511,17871,41179.923,0.0,550
550,8532,17091,41232.91,0.0,551
551,2622,10386,41249.3,0.0,552
552,9026,10496,41268.86,0.0,553
553,2808,14557,41371.193,0.0,554
554,1668,16751,41400.67,0.0,555
555,1668,16749,41402.933,0.0,556
556,5427,14517,41407.02,0.0,557
557,1668,15368,41414.11,0.0,558
558,1668,14174,41417.343,0.0,559
559,8155,16119,41418.403,0.0,560
560,1668,15554,41502.137,0.0,561
561,1668,10424,41502.153,0.0,562
562,9849,11176,41546.697,0.0,563
563,1723,12752,41560.82,0.0,564
564,3403,10560,41650.09,0.0,565
565,1333,14219,41655.727,0.0,566
566,5427,14535,41676.41,0.0,567
567,5427,15367,41677.377,0.0,568
568,4310,15674,41680.273,0.0,569
569,4565,13687,41687.17,0.0,570
570,7128,15642,41708.61,0.0,571
571,9026,12948,41815.823,0.0,572
572,5544,12909,41864.927,0.0,573
573,2002,12016,41914.627,0.0,574
574,8532,11031,41940.09,0.0,575
575,1820,15931,41950.693,0.0,576
576,4533,12925,41982.357,0.0,577
577,9170,15180,42073.823,0.0,578
578,1723,13081,42112.833,0.0,579
579,5574,16516,42174.317,0.0,580
580,3461,11114,42176.577,0.0,581
581,2614,17031,42211.917,0.0,582
582,3461,11106,42215.973,0.0,583
583,6089,17091,42219.323,0.0,584
584,2614,16734,42265.927,0.0,585
585,2977,12647,42267.063,0.0,586
586,9170,12538,42270.517,0.0,587
587,3461,14664,42279.123,0.0,588
588,9026,13262,42336.523,0.0,589
589,3245,13906,42353.573,0.0,590
590,9822,11153,42405.233,0.0,591
591,3979,12358,42435.86,0.0,592
592,3979,16767,42490.367,0.0,593
593,2570,12458,42504.887,0.0,594
594,2570,16025,42537.03,0.0,595
595,9822,11521,42586.097,0.0,596
596,8802,11903,42608.553,0.0,597
597,7753,12014,42632.04,0.0,598
598,2614,17031,42679.7,0.0,599
599,9026,10012,42744.51,0.0,600
600,9822,11152,42785.543,0.0,601
601,8501,11707,42866.01,0.0,602
602,3103,17524,42882.913,0.0,603
603,2570,10560,42902.543,0.0,604
604,2752,14412,42967.96,0.0,605
605,9026,16952,42988.92,0.0,606
606,6568,17582,42995.203,0.0,607
607,2447,10577,43120.027,0.0,608
608,2341,11637,43187.827,0.0,609
609,8180,14520,43254.73,0.0,610
610,7115,17454,43277.19,0.0,611
611,5533,16243,43283.68,0.0,612
612,3924,15673,43325.057,0.0,613
613,6841,12607,43325.373,0.0,614
614,2447,14548,43383.063,0.0,615
615,4266,15672,43449.65,0.0,616
616,3461,11105,43455.06,0.0,617
617,4473,11030,43476.08,0.0,618
618,7115,11438,43495.827,0.0,619
619,9026,14522,43561.513,0.0,620
620,7115,15647,43690.82,0.0,621
621,6830,15815,43764.61,0.0,622
622,7703,13039,43779.987,0.0,623
623,241,17338,43804.46,0.0,624
624,6275,17802,43858.25,0.0,625
625,5302,16470,43864.21,0.0,626
626,5362,15673,43890.66,0.0,627
627,8802,12538,43982.103,0.0,628
628,7467,16243,44018.55,0.0,629
629,3461,16934,44023.453,0.0,630
630,3924,11212,44040.273,0.0,631
631,4951,15655,44088.07,0.0,632
632,8189,14413,44119.673,0.0,633
633,3320,10838,44161.573,0.0,634
634,2368,15673,44204.033,0.0,635
635,9822,11358,44216.18,0.0,636
636,8137,15613,44334.993,0.0,637
637,2570,14121,44343.297,0.0,638
638,6458,11326,44353.963,0.0,639
639,9843,14342,44362.2,0.0,640
640,1942,17519,44386.203,0.0,641
641,1942,15224,44407.873,0.0,642
642,8802,11724,44442.55,0.0,643
643,5431,11399,44472.257,0.0,644
644,2172,11515,44510.083,0.0,645
645,8458,10560,44526.907,0.0,646
646,5714,14326,44528.71,0.0,647
647,1132,16846,44532.51,0.0,648
648,3768,12653,44548.53,0.0,649
649,9026,14530,44612.44,0.0,650
650,3461,11116,44638.733,0.0,651
651,143,13072,44651.19,0.0,652
652,9843,11313,44652.06,0.0,653
653,2470,11358,44654.987,0.0,654
654,3320,17461,44657.317,0.0,655
655,2570,10536,44689.677,0.0,656
656,9026,14526,44696.433,0.0,657
657,8180,14537,44775.677,0.0,658
658,5280,17939,44818.76,0.0,659
659,5431,12948,44841.857,0.0,660
660,3461,11116,44926.827,0.0,661
661,9026,14521,44938.427,0.0,662
662,3818,13309,44942.463,0.0,663
663,5427,14534,44964.193,0.0,664
664,9502,15488,44966.413,0.0,665
665,9502,12978,44988.043,0.0,666
666,5139,15643,45025.243,0.0,667
667,2614,16737,45043.26,0.0,668
668,3461,11108,45172.09,0.0,669
669,7306,15469,45245.003,0.0,670
670,341,16737,45300.55,0.0,671
671,5742,10560,45303.013,0.0,672
672,8765,12664,45312.817,0.0,673
673,4497,15924,45348.367,0.0,674
674,8626,13112,45374.417,0.0,675
675,3461,11117,45399.81,0.0,676
676,301,12014,45438.57,0.0,677
677,8090,16892,45447.08,0.0,678
678,8394,12978,45450.997,0.0,679
679,2857,13631,45472.27,0.0,680
680,2365,12043,45511.103,0.0,681
681,9026,15155,45559.103,0.0,682
682,6386,13923,45580.237,0.0,683
683,5477,11732,45605.39,0.0,684
684,3461,11116,45634.433,0.0,685
685,6089,12454,45658.023,0.0,686
686,9601,13820,45668.24,0.0,687
687,655,13637,45716.987,0.0,688
688,8935,16032,45742.287,0.0,689
689,5329,14833,45755.413,0.0,690
690,6161,12646,45771.103,0.0,691
691,5742,11052,45811.88,0.0,692
692,3213,12316,45812.173,0.0,693
693,4038,11582,45824.64,0.0,694
694,1323,17644,45828.627,0.0,695
695,8474,11421,45856.173,0.0,696
696,6841,15933,45857.993,0.0,697
697,3649,15200,45887.63,0.0,698
698,3461,11094,45905.507,0.0,699
699,7769,17346,45923.457,0.0,700
700,6458,11418,45936.323,0.0,701
701,1482,14751,45954.57,0.0,702
702,2365,15815,45969.037,0.0,703
703,4038,16155,46083.407,0.0,704
704,1482,14752,46119.78,0.0,705
705,8723,11205,46121.78,0.0,706
706,3461,11116,46173.663,0.0,707
707,5162,14523,46190.78,0.0,708
708,8474,13689,46278.917,0.0,709
709,1565,10279,46297.78,0.0,710
710,8723,16697,46302.337,0.0,711
711,7136,10661,46308.73,0.0,712
712,1565,10279,46363.837,0.0,713
713,914,14500,46400.907,0.0,714
714,3461,11108,46412.627,0.0,715
715,4966,12767,46515.683,0.0,716
716,4951,13577,46617.297,0.0,717
717,4966,15525,46624.813,0.0,718
718,9574,14845,46642.867,0.0,719
719,467,13309,46646.01,0.0,720
720,9574,12142,46648.51,0.0,721
721,9757,11907,46661.23,0.0,722
722,8766,13088,46667.47,0.0,723
723,4966,14535,46732.137,0.0,724
724,8766,10661,46802.157,0.0,725
725,9757,12060,46804.183,0.0,726
726,5557,14759,46856.82,0.0,727
727,9093,10978,46906.08,0.0,728
728,761,10409,46920.427,0.0,729
729,3649,11622,46951.287,0.0,730
730,9093,12808,46957.79,0.0,731
731,8766,16134,46965.883,0.0,732
732,7467,12729,47019.953,0.0,733
733,6161,17083,47067.023,0.0,734
734,9970,17578,47094.857,0.0,735
735,7467,16243,47122.59,0.0,736
736,4767,14734,47125.5,0.0,737
737,9757,16231,47154.833,0.0,738
738,7633,13255,47162.473,0.0,739
